name,team,position,rank,half_ppr
Jared Goff,DET,QB17,159,281
Brock Purdy,SF,QB17,160,296
Zach Charbonnet,SEA,RB43,161,110
Jordan Love,GB,QB18,162,272
C.J. Stroud,HOU,QB19,163,277
Rhamondre Stevenson,NE,RB44,164,133
Jake Elliott,PHI,K9,165,65
Diontae Johnson,CLE,WR65,166,97
Tua Tagovailoa,MIA,QB20,167,269
Chase McLaughlin,TB,K10,168,63
J.J. McCarthy,MIN,QB21,169,283
Jaydon Blue,DAL,RB45,170,68
Kyle Williams,NE,WR67,171,76
Xavier Legette,CAR,WR68,172,102
Cam Little,JAC,K11,173,59
Cole Kmet,CHI,TE29,174,77
Chad Ryland,ARI,K12,175,65
Bhayshul Tuten,JAC,RB46,176,67
Jalen Coker,CAR,WR69,177,90
Tyler Allgeier,ATL,RB47,178,92
Theo Johnson,NYG,TE30,179,81
Marvin Mims Jr.,DEN,WR70,180,116
Jason Sanders,MIA,K13,181,59
Ray Davis,BUF,RB48,182,83
Jalen McMillan,TB,WR72,183,92
Michael Wilson,ARI,WR71,184,107
Cedric Tillman,CLE,WR73,185,109
Cameron Dicker,LAC,K14,186,69
Adam Thielen,CAR,WR74,187,124
Jake Moody,SF,K15,188,59
Isaac Guerendo,SF,RB50,189,92
Trey Benson,ARI,RB51,190,87
Jaylen Wright,MIA,RB52,191,76
Alec Pierce,IND,WR76,192,88
Darius Slayton,NYG,WR77,193,89
Mike Williams,LAC,WR78,194,83
Elijah Arroyo,SEA,TE31,195,31
Terrance Ferguson,LAR,TE32,196,37
Ja'Tavion Sanders,CAR,TE33,197,71
Bryce Young,CAR,QB22,198,262
Wan'Dale Robinson,NYG,WR75,199,115
Roschon Johnson,CHI,RB49,200,89
