name,team,position,rank,ppr,BYE
David Montgomery,DET,RB20,58,204,8.0
Aaron Jones,MIN,RB21,59,205,6.0
Sam LaPorta,DET,TE4,60,190,8.0
George Pickens,DAL,WR32,61,190,10.0
Quinshon Judkins,CLE,RB24,62,175,9.0
Omarion Hampton,LAC,RB25,63,205,12.0
Jameson Williams,DET,WR34,64,184,8.0
Mark Andrews,BAL,TE9,65,164,7.0
Chris Godwin,TB,WR29,66,194,9.0
Tony Pollard,TEN,RB22,67,193,10.0
Isiah Pacheco,KC,RB23,68,182,10.0
Travis Kelce,KC,TE5,69,193,10.0
D'Andre Swift,CHI,RB26,70,198,5.0
Calvin Ridley,TEN,WR33,71,196,10.0
TreVeyon Henderson,NE,RB27,72,167,14.0
Deebo Samuel,WAS,WR36,73,186,12.0
Jonnu Smith,MIA,TE6,74,179,12.0
Jakobi Meyers,LVR,WR35,75,194,8.0
RJ Harvey,DEN,RB28,76,186,12.0
Jauan Jennings,SF,WR38,77,192,14.0
T.J. Hockenson,MIN,TE7,78,175,6.0
Jordan Addison,MIN,WR39,79,190,6.0
Rome Odunze,CHI,WR40,80,178,5.0
David Njoku,CLE,TE8,81,173,9.0
Jayden Reed,GB,WR41,82,169,5.0
Brian Robinson Jr.,WAS,RB30,83,169,12.0
Kaleb Johnson,PIT,RB32,84,151,5.0
Khalil Shakir,BUF,WR37,85,188,7.0
Jerry Jeudy,CLE,WR42,86,201,9.0
Patrick Mahomes,KC,QB6,87,318,10.0
Dalton Kincaid,BUF,TE10,88,151,7.0
Rashid Shaheed,NO,WR45,89,175,11.0
Darnell Mooney,ATL,WR46,90,171,5.0
Ricky Pearsall,SF,WR47,91,167,14.0
Tucker Kraft,GB,TE12,92,151,5.0
Dallas Goedert,PHI,TE14,93,148,9.0
Keon Coleman,BUF,WR51,94,167,7.0
Tyler Warren,IND,TE15,95,125,11.0
Tank Bigsby,JAC,RB38,96,117,8.0
Jaylen Warren,PIT,RB29,97,185,5.0
Travis Etienne,JAC,RB31,98,160,8.0
Jake Ferguson,DAL,TE11,99,159,10.0
Stefon Diggs,NE,WR43,100,163,14.0
Josh Downs,IND,WR44,101,162,11.0
Michael Pittman Jr.,IND,WR48,102,165,11.0
Evan Engram,DEN,TE13,103,152,12.0
Cooper Kupp,SEA,WR49,104,176,8.0
Tyrone Tracy Jr.,NYG,RB33,105,164,14.0
Najee Harris,LAC,RB35,106,132,12.0
Cameron Skattebo,NYG,RB34,107,124,14.0
Marquise Brown,KC,WR50,108,157,10.0
Brandon Aiyuk,SF,WR52,109,145,14.0
Pat Freiermuth,PIT,TE16,110,142,5.0
J.K. Dobbins,UNS,RB39,111,120,N/A
Younghoe Koo,ATL,K1,112,76,5.0
Zach Ertz,WAS,TE17,113,135,12.0
Christian Kirk,HOU,WR53,114,155,6.0
Colston Loveland,CHI,TE18,115,125,5.0
Isaiah Likely,BAL,TE20,116,125,7.0
Mike Gesicki,CIN,TE21,117,129,10.0
Kyle Pitts,ATL,TE23,118,125,5.0
Hunter Henry,NE,TE24,119,135,14.0
Kyler Murray,ARI,QB7,120,301,8.0
