"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"228","Jacob Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"229","Terrell Bynum (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Cephus Johnson III (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"231","Montrell Washington (NYG)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"232","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"233","Mitchell Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Devon Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Ethan Fernea (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"236","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","1.1%"
"237","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"238","Tre'Quan Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"239","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"240","N'Keal Harry (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"241","David Sills (ATL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"242","Stanley Morgan Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"243","Juwann Winfree (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","6.0%"
"244","Andy Isabella (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"245","Damiere Byrd (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"246","Ty Montgomery II (FA)","5","12","40","8.0","17","0","0","3","9","0","0","13","0.0","0.0","0.0%"
"247","Phillip Dorsett II (ATL)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"248","James Proche II (TEN)","0","5","0","0","0","0","0","0","0","0","1","10","-2.0","-0.2","0.0%"
"249","Trent Taylor (SF)","0","2","0","0","0","0","0","1","-2","0","1","16","-2.2","-0.1","0.0%"
""
""
