"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"151","Velus Jones Jr. (NO)","8","51","6.4","17","0","0","4","7","20","5.0","0","0","14","0.0","0.0","0.1%"
"152","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Jordan Mims (NO)","0","0","0","0","0","0","0","2","0","0","0","0","3","0.0","0.0","0.1%"
"154","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","3.1%"
"155","Henry Pearson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"156","SaRodorick Thompson Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"157","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"158","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"159","Nick Bellore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","2.1%"
"160","Jeremy McNichols (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"161","Marlon Mack (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"162","Corey Clement (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"163","Qadree Ollison (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Patrick Laird (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"165","Andrew Beck (NYJ)","5","3","0.6","2","0","1","11","13","55","5.0","2","1","15","0.0","0.0","0.1%"
"166","Travis Homer (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","9","0.0","0.0","0.7%"
"167","Godwin Igwebuike (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"168","Jason Cabinda (FA)","1","0","0.0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.1%"
"169","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Dwayne Washington (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"171","Jonathan Williams (FA)","1","-2","-2.0","0","0","0","0","1","0","0","0","0","1","-0.2","-0.2","0.0%"
"172","Deon Jackson (FA)","14","16","1.1","7","0","0","5","6","14","2.8","0","2","2","-1.0","-0.5","0.0%"
""
""
