Player,Team,actual_Rank,actual_CMP(Passing),actual_ATT(Passing),actual_PCT(Passing),actual_YDS(Passing),actual_Y/A(Passing),actual_TD(Passing),actual_INT,actual_SACKS,actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Passing),projections_CMP(Passing),projections_YDS(Passing),projections_TD(Passing),projections_INTS,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS
Spencer Rattler,NO,41.0,130.0,228.0,57.0,1317,5.8,4.0,5.0,22.0,18.0,146.0,0.0,3.0,7.0,72.2,10.3,23.9,66.6,43.7,336.7,2.4,0.8,5.5,22.2,0.1,0.2,24.6
Andy Dalton,CAR,42.0,106.0,160.0,66.3,989,6.2,7.0,6.0,7.0,11.0,34.0,0.0,0.0,6.0,64.9,10.8,4.6,45.5,28.5,270.3,1.5,0.9,4.7,16.6,0.1,0.1,17.8
Malik Willis,GB,44.0,40.0,54.0,74.1,550,10.2,3.0,0.0,8.0,20.0,138.0,1.0,1.0,7.0,51.8,7.4,5.2,40.8,25.1,256.0,1.9,0.9,6.9,26.1,0.1,0.3,19.2
Michael Penix Jr.,ATL,45.0,61.0,105.0,58.1,775,7.4,3.0,3.0,4.0,7.0,11.0,1.0,0.0,5.0,47.2,9.4,49.0,42.1,25.8,334.1,2.5,1.3,3.4,21.1,0.4,0.5,25.6
Jacoby Brissett,ARI,46.0,95.0,161.0,59.0,826,5.1,2.0,1.0,18.0,15.0,62.0,0.0,1.0,8.0,46.2,5.8,6.1,126.6,80.8,1300.9,7.4,4.8,11.6,94.5,0.8,1.6,87.9
Marcus Mariota,WAS,47.0,34.0,44.0,77.3,364,8.3,4.0,0.0,3.0,18.0,92.0,1.0,0.0,3.0,45.7,15.2,5.3,42.6,26.4,272.2,1.5,1.2,6.9,30.3,0.1,0.2,18.9
Joshua Dobbs,NE,48.0,32.0,47.0,68.1,361,7.7,2.0,2.0,2.0,9.0,24.0,2.0,1.0,2.0,32.8,16.4,3.9,40.6,26.9,267.2,1.8,0.9,6.0,27.8,0.2,0.2,20.4
Tanner McKee,PHI,49.0,30.0,45.0,66.7,323,7.2,4.0,0.0,2.0,5.0,-1.0,0.0,0.0,2.0,28.9,14.5,3.1,0.0,0.0,80.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0
Kenny Pickett,CLE,50.0,25.0,42.0,59.5,291,6.9,2.0,1.0,4.0,9.0,15.0,1.0,0.0,5.0,26.1,5.2,13.1,43.8,28.4,283.3,1.6,1.2,7.1,21.5,0.2,0.5,18.9
Dorian Thompson-Robinson,PHI,52.0,61.0,118.0,51.7,440,3.7,0.0,6.0,8.0,21.0,122.0,0.0,1.0,7.0,21.8,3.1,0.8,25.0,14.0,121.5,0.5,0.5,5.0,21.0,0.0,0.0,8.5
Jimmy Garoppolo,LAR,53.0,27.0,41.0,65.9,334,8.1,2.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,20.9,20.9,4.5,46.9,30.5,317.4,2.1,1.0,3.8,10.5,0.0,0.1,21.2
Tyrod Taylor,NYJ,54.0,17.0,22.0,77.3,119,5.4,3.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,20.0,10.0,6.2,43.5,27.5,273.1,1.9,0.9,5.5,24.0,0.0,0.2,19.7
Joe Milton III,DAL,55.0,22.0,29.0,75.9,241,8.3,1.0,0.0,0.0,10.0,16.0,1.0,1.0,1.0,19.2,19.2,23.0,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,1.0,10.3
Mitchell Trubisky,BUF,56.0,19.0,26.0,73.1,179,6.9,2.0,0.0,0.0,17.0,1.0,0.0,0.0,9.0,15.3,1.7,0.8,45.9,30.4,275.0,2.0,1.3,8.0,26.7,0.3,0.2,22.0
Jake Haener,NO,58.0,18.0,39.0,46.2,226,5.8,1.0,1.0,6.0,11.0,22.0,0.0,0.0,8.0,14.3,1.8,1.1,17.0,11.0,119.0,1.0,0.0,2.0,8.0,0.0,0.0,9.6
Trey Lance,LAC,59.0,25.0,41.0,61.0,266,6.5,0.0,1.0,4.0,11.0,41.0,0.0,0.0,4.0,13.7,3.4,3.0,24.0,15.0,177.0,1.0,1.0,5.0,18.5,0.0,0.0,11.9
Tommy DeVito,NYG,60.0,31.0,44.0,70.5,257,5.8,0.0,0.0,6.0,8.0,32.0,0.0,0.0,3.0,13.5,4.5,1.3,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,0.0,12.3
Davis Mills,HOU,61.0,20.0,36.0,55.6,212,5.9,0.0,0.0,2.0,3.0,11.0,0.0,0.0,4.0,9.6,2.4,0.9,47.6,29.9,290.2,1.9,1.0,4.5,14.9,0.1,0.2,19.5
Bailey Zappe,KC,62.0,16.0,31.0,51.6,170,5.5,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,9.0,9.0,1.1,0.0,0.0,140.0,1.0,1.0,0.0,11.0,0.0,0.0,9.7
Skylar Thompson,PIT,64.0,21.0,33.0,63.6,187,5.7,0.0,0.0,6.0,1.0,4.0,0.0,0.0,3.0,7.9,2.6,2.0,70.3,44.4,340.6,1.7,1.4,5.8,19.6,0.1,0.3,21.1
Taylor Heinicke,LAC,66.0,3.0,5.0,60.0,28,5.6,0.0,0.0,3.0,2.0,20.0,0.0,0.0,4.0,3.2,0.8,0.8,42.9,27.3,274.8,1.7,0.9,6.6,27.6,0.1,0.5,19.3
Hendon Hooker,DET,67.0,6.0,9.0,66.7,62,6.9,0.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,2.7,0.9,5.2,68.1,44.1,338.4,1.9,1.4,6.1,25.7,0.2,0.3,22.9
Nick Mullens,JAC,68.0,2.0,2.0,100.0,38,19.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,4.0,1.4,0.4,0.8,82.9,53.6,562.0,3.0,2.1,5.6,18.2,0.1,0.7,33.2
Mike White,BUF,70.0,3.0,11.0,27.3,28,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,1.0,0.0,0.0,155.0,1.0,1.0,0.0,7.0,0.0,0.0,9.9
Kyle Allen,DET,71.0,1.0,1.0,100.0,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,1.1,0.0,0.0,149.0,1.0,1.0,0.0,10.0,0.0,0.0,10.0
Josh Johnson,WAS,72.0,2.0,3.0,66.7,17,5.7,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.0,0.7,0.1,1.0,42.7,26.7,293.5,1.9,0.9,8.8,37.0,0.3,0.3,22.9
Jarrett Stidham,DEN,74.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.5,0.2,3.0,64.4,40.1,439.7,2.4,1.8,8.1,26.0,0.3,0.6,28.9
Sam Howell,SEA,75.0,5.0,14.0,35.7,24,1.7,0.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0,0.2,0.1,13.3,72.7,46.8,494.1,3.1,2.2,8.0,39.0,0.4,0.5,35.3
Zach Wilson,MIA,76.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,200.0,1.0,1.0,0.0,17.0,0.0,0.0,12.7
Sam Ehlinger,DEN,81.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,76.0,1.0,0.0,0.0,8.0,0.0,0.0,7.8
