Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
Travis Vokolek,ARI,129.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,102.0,1.0,0.0,16.2,0.0
John Stephens Jr.,DAL,134.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.2,63.9,0.5,0.0,9.4,0.0
Tanner McLachlan,CIN,143.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,122.5,1.0,0.0,18.3,0.0
Brenden Bates,CLE,147.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,7.4,71.0,0.7,0.0,11.0,0.0
Messiah Swinson,GB,148.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,85.0,1.0,0.0,14.5,0.0
Tre' McKitty,CLE,161.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,20.4,0.2,0.0,3.1,0.0
Ko Kieft,TB,162.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.8,46.1,0.6,0.0,8.4,0.0
Jake Tonges,SF,164.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.8,17.3,0.2,0.0,2.8,0.0
Cameron Latu,PHI,169.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,88.0,1.0,0.0,14.8,0.0
Nick Muse,PHI,170.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.7,35.7,0.3,0.0,5.0,0.0
Teagan Quitoriano,ATL,171.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,22.3,0.2,0.0,3.3,0.0
Irv Smith Jr.,HOU,174.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,116.0,1.0,0.0,17.6,0.0
Anthony Firkser,KC,188.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.4,41.4,0.3,0.0,6.0,0.0
Robert Tonyan,KC,189.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,15.0,153.0,1.0,0.0,21.3,0.0
Albert Okwuegbunam Jr.,IND,191.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,1.0,0.0,14.2,0.0
