Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Josh Downs,IND,38.0,72.0,107.0,803,11.2,69.0,10.0,5.0,1.0,12.0,0.0,0.0,14.0,111.5,8.0,55.7,54.9,626.5,3.3,0.0,5.3,0.0,0.5,81.9,177.0
Cooper Kupp,SEA,39.0,67.0,100.0,710,10.6,69.0,10.0,6.0,2.0,10.0,0.0,0.0,12.0,108.0,9.0,62.3,85.9,1060.8,7.3,2.9,17.4,0.1,0.5,150.7,36.0
Khalil Shakir,BUF,40.0,76.0,100.0,821,10.8,52.0,9.0,4.0,2.0,4.0,0.0,0.0,15.0,106.5,7.1,59.2,59.2,776.0,4.5,0.3,3.2,0.0,0.2,104.4,124.0
George Pickens,PIT,41.0,59.0,103.0,900,15.3,44.0,17.0,3.0,2.0,-6.0,0.0,1.0,14.0,105.4,7.5,68.3,70.7,1089.2,6.0,2.6,16.9,0.0,0.9,145.2,59.0
Nick Westbrook-Ikhine,MIA,42.0,32.0,60.0,497,15.5,98.0,4.0,9.0,0.0,0.0,0.0,0.0,17.0,103.7,6.1,13.9,10.6,143.4,0.8,0.0,1.3,0.0,0.0,19.2,0.0
Jalen Tolbert,DAL,43.0,49.0,79.0,610,12.4,48.0,8.0,7.0,0.0,0.0,0.0,0.0,17.0,103.0,6.1,29.8,37.5,464.3,3.0,0.0,2.3,0.0,0.2,64.3,259.0
Deebo Samuel Sr.,WAS,44.0,51.0,81.0,670,13.1,76.0,10.0,3.0,42.0,136.0,1.0,1.0,15.0,102.6,6.8,64.7,66.9,924.7,5.9,35.8,208.4,3.1,1.0,165.0,26.5
Jalen McMillan,TB,45.0,37.0,58.0,461,12.5,33.0,8.0,8.0,4.0,43.0,0.0,0.0,13.0,98.4,7.6,74.2,43.9,524.2,3.3,0.7,7.5,0.0,0.8,71.5,236.5
Michael Pittman Jr.,IND,46.0,69.0,111.0,808,11.7,33.0,12.0,3.0,0.0,0.0,0.0,1.0,16.0,96.8,6.1,84.0,96.7,1062.2,5.1,0.3,3.0,0.0,1.0,134.8,36.0
Demarcus Robinson,SF,47.0,31.0,64.0,505,16.3,46.0,9.0,7.0,0.0,0.0,0.0,0.0,17.0,92.5,5.4,22.9,45.8,587.1,4.4,0.3,7.8,0.0,0.6,84.6,252.5
Jaylen Waddle,MIA,48.0,58.0,83.0,744,12.8,63.0,12.0,2.0,4.0,12.0,0.0,0.0,16.0,91.6,5.7,64.0,81.8,1123.7,5.7,3.6,21.1,0.1,0.5,148.3,38.5
Adam Thielen,CAR,49.0,48.0,62.0,615,12.8,40.0,9.0,5.0,0.0,0.0,0.0,0.0,10.0,91.5,9.2,56.4,69.0,695.6,4.5,0.3,3.0,0.0,0.6,95.6,164.0
DeAndre Hopkins,BAL,50.0,56.0,80.0,610,10.9,35.0,6.0,5.0,0.0,0.0,0.0,0.0,16.0,91.0,5.7,37.4,64.7,851.3,5.7,0.3,2.8,0.0,0.5,118.8,100.0
Rome Odunze,CHI,51.0,54.0,101.0,734,13.6,47.0,8.0,3.0,3.0,15.0,0.0,1.0,17.0,90.9,5.3,62.1,62.5,852.2,5.4,1.0,6.4,0.0,1.1,116.1,91.0
Marvin Mims Jr.,DEN,52.0,39.0,52.0,503,12.9,93.0,7.0,6.0,13.0,42.0,0.0,0.0,17.0,90.5,5.3,67.2,41.2,541.1,2.6,3.9,23.5,0.1,0.3,72.2,220.5
Wan'Dale Robinson,NYG,53.0,93.0,140.0,699,7.5,35.0,4.0,3.0,3.0,18.0,0.0,0.0,17.0,89.7,5.3,47.6,61.1,567.6,2.8,8.1,58.1,0.5,0.5,81.0,221.5
Tank Dell,HOU,54.0,51.0,81.0,667,13.1,50.0,9.0,3.0,9.0,43.0,0.0,0.0,14.0,89.0,6.4,38.5,70.0,954.6,7.0,11.1,61.6,0.2,0.6,143.2,64.5
Allen Lazard,NYJ,55.0,37.0,60.0,530,14.3,52.0,8.0,6.0,0.0,0.0,0.0,0.0,12.0,89.0,7.4,5.2,19.4,249.9,1.8,0.0,0.7,0.0,0.1,35.8,0.0
Chris Godwin,TB,56.0,50.0,62.0,576,11.5,55.0,7.0,5.0,1.0,2.0,0.0,0.0,7.0,87.8,12.5,76.5,83.2,989.5,5.3,2.7,20.9,0.3,0.5,133.0,76.0
Romeo Doubs,GB,57.0,46.0,72.0,601,13.1,39.0,8.0,4.0,0.0,0.0,0.0,0.0,13.0,86.1,6.6,42.8,55.9,685.8,5.6,0.0,1.5,0.0,0.5,101.3,121.0
Andrei Iosivas,CIN,58.0,36.0,61.0,479,13.3,39.0,7.0,6.0,0.0,0.0,0.0,0.0,17.0,83.9,4.9,27.9,36.3,424.0,3.2,0.0,3.3,0.0,0.2,61.7,240.0
Calvin Austin III,PIT,59.0,36.0,58.0,548,15.2,55.0,10.0,4.0,0.0,0.0,0.0,1.0,17.0,82.8,4.9,11.2,25.4,294.7,1.6,4.5,36.3,0.1,0.2,43.3,287.0
Keon Coleman,BUF,60.0,29.0,57.0,556,19.2,64.0,12.0,4.0,1.0,9.0,0.0,0.0,13.0,82.5,6.3,84.9,55.8,745.4,5.0,1.0,4.8,0.0,1.1,102.7,106.5
Tre Tucker,LV,61.0,47.0,81.0,539,11.5,58.0,6.0,3.0,9.0,44.0,1.0,0.0,17.0,82.3,4.8,21.2,35.0,424.4,2.4,6.1,39.9,0.2,0.3,61.5,292.5
DeMario Douglas,NE,62.0,66.0,87.0,621,9.4,36.0,8.0,3.0,3.0,16.0,0.0,0.0,17.0,81.7,4.8,36.3,61.6,736.4,3.2,8.4,44.4,0.1,0.9,96.3,196.5
Kayshon Boutte,NE,63.0,43.0,68.0,589,13.7,48.0,11.0,3.0,0.0,0.0,0.0,0.0,15.0,80.9,5.4,26.1,6.9,86.3,0.6,0.0,2.5,0.0,0.0,12.3,0.0
Ray-Ray McCloud III,ATL,65.0,62.0,87.0,686,11.1,60.0,8.0,1.0,10.0,79.0,0.0,2.0,17.0,78.5,4.6,12.4,36.5,374.2,2.8,6.9,46.7,0.2,0.2,59.6,0.0
Michael Wilson,ARI,66.0,47.0,71.0,548,11.7,41.0,10.0,4.0,1.0,7.0,0.0,1.0,16.0,77.5,4.8,32.6,49.8,651.1,3.7,0.0,1.3,0.0,0.2,86.8,175.5
Christian Watson,GB,67.0,29.0,53.0,620,21.4,60.0,12.0,2.0,4.0,23.0,0.0,1.0,15.0,76.3,5.1,36.0,53.7,779.6,7.0,4.2,24.6,0.3,0.5,122.8,99.0
