"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"95","Brandin Cooks (NO)","26","54","259","10.0","29","3","3","3","-3","0","0","10","43.6","4.4","20.8%"
"96","Rashee Rice (KC)","24","29","288","12.0","44","3","2","1","1","0","0","4","40.9","10.2","77.2%"
"97","Justin Watson (HOU)","22","32","289","13.1","49","2","2","0","0","0","0","17","40.9","2.4","3.0%"
"98","Van Jefferson (TEN)","24","40","276","11.5","43","4","2","0","0","0","0","17","39.6","2.3","1.5%"
"99","Kalif Raymond (DET)","17","22","215","12.6","38","3","2","2","0","0","0","12","39.5","3.3","2.6%"
"100","Tyler Boyd (FA)","39","57","390","10.0","40","4","0","1","3","0","0","16","39.3","2.5","5.6%"
"101","Troy Franklin (DEN)","28","53","263","9.4","30","5","2","2","8","0","0","16","39.1","2.4","36.5%"
"102","Dyami Brown (JAC)","30","40","308","10.3","51","5","1","3","26","0","1","16","37.4","2.3","19.7%"
"103","Brandon Aiyuk (SF)","25","47","374","15.0","53","5","0","0","0","0","0","7","37.4","5.3","61.8%"
"104","Kendrick Bourne (NE)","28","38","305","10.9","37","2","1","1","6","0","0","12","37.1","3.1","5.4%"
"105","Mike Williams (LAC)","21","34","298","14.2","32","6","1","0","0","0","0","18","35.8","2.0","35.8%"
"106","Nelson Agholor (FA)","14","29","231","16.5","56","5","2","0","0","0","0","14","35.1","2.5","0.8%"
"107","JuJu Smith-Schuster (KC)","18","26","231","12.8","50","3","2","0","0","0","0","14","35.1","2.5","3.7%"
"108","Tyler Johnson (NYJ)","26","41","291","11.2","63","4","1","0","0","0","0","15","35.1","2.3","0.6%"
"109","Gabe Davis (JAC)","20","42","239","12.0","22","6","2","0","0","0","1","10","33.9","3.4","31.2%"
"110","Lil'Jordan Humphrey (NYG)","31","45","293","9.5","41","5","1","0","0","0","1","17","33.3","2.0","2.7%"
"111","Curtis Samuel (BUF)","31","46","253","8.2","38","2","1","5","14","0","0","14","32.7","2.3","19.9%"
"112","John Metchie III (HOU)","24","37","254","10.6","28","3","1","0","0","0","0","13","31.4","2.4","5.2%"
"113","DJ Turner (FA)","16","29","158","9.9","30","2","1","5","33","1","0","12","31.1","2.6","1.0%"
"114","Adonai Mitchell (IND)","23","55","312","13.6","36","4","0","4","6","0","1","17","30.8","1.8","38.3%"
"115","Jordan Whittington (LAR)","22","28","293","13.3","50","4","0","2","12","0","0","15","30.5","2.0","32.1%"
"116","Cedrick Wilson Jr. (NO)","20","27","211","10.6","25","1","1","1","-3","0","1","15","29.6","2.0","3.6%"
"117","Malik Washington (MIA)","26","36","223","8.6","20","2","0","5","25","1","1","14","28.8","2.1","20.1%"
"118","Derius Davis (LAC)","13","17","112","8.6","23","1","2","12","39","0","0","15","27.1","1.8","1.1%"
"119","Josh Reynolds (NYJ)","13","24","194","14.9","49","4","1","0","0","0","0","9","25.4","2.8","0.7%"
"120","Tylan Wallace (BAL)","11","12","193","17.5","84","2","1","0","0","0","0","17","25.3","1.5","0.6%"
"121","KhaDarel Hodge (ATL)","7","12","131","18.7","45","3","1","0","0","0","0","16","25.1","1.6","0.6%"
"122","Ryan Miller (TB)","12","20","128","10.7","39","2","2","0","0","0","0","11","24.8","2.3","0.6%"
"123","Jalen Brooks (DAL)","12","30","177","14.8","41","2","1","0","0","0","0","14","23.7","1.7","0.8%"
"124","Trey Palmer (TB)","12","22","172","14.3","27","2","1","0","0","0","0","15","23.2","1.5","1.9%"
"125","Jahan Dotson (PHI)","19","33","216","11.4","36","2","0","1","13","0","0","17","22.9","1.3","19.7%"
"126","Malik Heath (GB)","10","13","97","9.7","41","1","2","0","0","0","0","12","21.7","1.8","0.6%"
"127","Mecole Hardman Jr. (GB)","12","14","90","7.5","17","0","0","5","62","1","0","12","21.2","1.8","0.7%"
"128","Ja'Lynn Polk (NE)","12","33","87","7.3","21","1","2","1","0","0","0","15","20.7","1.4","25.0%"
"129","Dante Pettis (NO)","12","28","120","10.0","20","1","1","0","0","0","0","8","20.0","2.5","0.1%"
"130","Robert Woods (FA)","20","30","203","10.2","32","2","0","0","0","0","1","15","18.3","1.2","0.6%"
"131","Bub Means (NO)","9","15","118","13.1","36","1","1","0","0","0","0","7","17.8","2.5","2.8%"
"132","Ashton Dulin (IND)","2","8","67","33.5","54","1","1","5","45","0","0","15","17.2","1.1","0.1%"
"133","Jamison Crowder (FA)","9","13","72","8.0","12","0","2","0","0","0","1","6","17.2","2.9","1.0%"
"134","Luke McCaffrey (WAS)","18","24","168","9.3","30","2","0","0","0","0","0","17","16.8","1.0","16.1%"
"135","Jake Bobo (SEA)","13","17","107","8.2","15","0","1","0","0","0","0","17","16.7","1.0","3.6%"
"136","Kevin Austin Jr. (NO)","11","22","151","13.7","23","2","0","1","9","0","0","8","16.0","2.0","0.1%"
"137","Jonathan Mingo (DAL)","17","42","167","9.8","35","2","0","2","5","0","1","17","15.2","0.9","3.5%"
"138","Bo Melton (GB)","8","17","91","11.4","28","1","0","8","54","0","0","17","14.5","0.9","1.5%"
"139","Trent Sherfield Sr. (DEN)","8","10","83","10.4","17","0","1","0","0","0","0","17","14.3","0.8","0.1%"
"140","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","12.9","4.3","0.0%"
"141","Rakim Jarrett (TB)","9","11","124","13.8","30","2","0","0","0","0","0","10","12.4","1.2","1.0%"
"142","Xavier Hutchinson (HOU)","12","26","117","9.8","19","0","0","0","0","0","0","16","11.7","0.7","1.2%"
"143","K.J. Osborn (WAS)","7","18","57","8.1","22","1","1","0","0","0","0","8","11.7","1.5","1.0%"
"144","Tay Martin (TEN)","1","2","49","49.0","49","1","1","0","0","0","0","1","10.9","10.9","6.0%"
"145","Ainias Smith (PHI)","7","9","41","5.9","15","0","1","2","6","0","0","7","10.7","1.5","1.2%"
"146","Jermaine Burton (CIN)","4","14","107","26.8","47","2","0","0","0","0","0","14","10.7","0.8","14.4%"
"147","Simi Fehoko (ARI)","6","16","106","17.7","30","2","0","0","0","0","0","8","10.6","1.3","1.0%"
"148","Mason Tipton (NO)","14","26","99","7.1","15","0","0","0","0","0","0","11","9.9","0.9","0.7%"
"149","Johnny Wilson (PHI)","5","15","38","7.6","9","0","1","0","0","0","0","16","9.8","0.6","1.1%"
"150","Bryce Oliver (TEN)","6","9","95","15.8","33","1","0","0","0","0","0","10","9.5","1.0","0.1%"
"151","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","9.1","4.6","81.9%"
"152","DJ Chark Jr. (FA)","4","10","31","7.8","12","0","1","0","0","0","0","7","9.1","1.3","3.8%"
"153","Parris Campbell (DAL)","6","8","30","5.0","7","0","1","0","0","0","0","5","9.0","1.8","0.1%"
"154","Xavier Gipson (NYJ)","6","10","39","6.5","17","0","1","1","5","0","1","17","8.4","0.5","1.3%"
"155","Zay Jones (ARI)","8","11","84","10.5","25","1","0","0","0","0","0","11","8.4","0.8","4.8%"
"156","Devin Duvernay (CHI)","11","16","79","7.2","28","1","0","4","3","0","0","13","8.2","0.6","0.2%"
"157","Ryan Flournoy (DAL)","10","14","102","10.2","26","1","0","0","0","0","1","11","8.2","0.7","1.8%"
"158","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","8.1","1.2","4.7%"
"159","Kristian Wilkerson (LV)","2","3","18","9.0","9","0","1","0","0","0","0","2","7.8","3.9","2.4%"
"160","Jalen Reagor (LAC)","7","12","100","14.3","41","2","0","3","-3","0","1","8","7.7","1.0","0.1%"
"161","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","15","7.6","0.5","0.0%"
"162","Brandon Powell (FA)","7","10","71","10.1","13","0","0","0","0","0","0","17","7.1","0.4","0.8%"
"163","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","6.9","0.5","0.1%"
"164","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","6.9","0.7","3.1%"
