"Player","Team","REC(Recieving)","YDS(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","FPTS"
"Van Jefferson","TEN","24.1","327.1","1.9","0.0","4.0","0.0","0.1","44.2"
"Calvin Austin III","PIT","25.4","294.7","1.6","4.5","36.3","0.1","0.2","43.3"
"Jauan Jennings","SF","24.8","302.9","2.0","0.0","3.3","0.0","0.1","42.3"
"Cedric Tillman","CLE","24.1","307.9","2.0","0.0","1.7","0.0","0.2","42.3"
"K.J. Osborn","WAS","24.8","301.0","1.7","0.0","2.0","0.0","0.1","40.1"
"Devontez Walker","BAL","22.3","273.2","2.0","0.0","3.5","0.0","0.0","39.8"
"Zay Jones","ARI","25.7","291.0","1.9","0.0","2.0","0.0","0.6","39.6"
"KhaDarel Hodge","ATL","20.6","272.0","1.7","0.0","0.0","0.0","0.3","36.9"
"Olamide Zaccheaus","CHI","22.1","270.4","1.6","0.0","5.0","0.0","0.1","36.8"
"Javon Baker","NE","22.4","269.7","1.4","0.0","7.3","0.0","0.0","36.3"
"Allen Lazard","NYJ","19.4","249.9","1.8","0.0","0.7","0.0","0.1","35.8"
"Xavier Gipson","NYJ","19.4","221.4","1.6","4.6","32.6","0.2","0.1","35.6"
"Phillip Dorsett II","ATL","21.3","244.5","1.5","0.0","0.0","0.0","0.0","33.2"
"John Metchie III","HOU","19.2","232.7","1.5","0.0","5.3","0.0","0.1","32.7"
"JuJu Smith-Schuster","KC","21.2","223.8","1.6","0.3","1.0","0.0","0.0","31.9"
"Parker Washington","JAC","20.4","217.1","1.6","0.0","4.0","0.0","0.0","31.7"
"Tutu Atwell","LAR","17.4","229.8","1.2","2.2","14.1","0.1","0.1","31.7"
"Tyquan Thornton","KC","16.0","199.6","1.0","1.2","8.0","0.0","0.1","26.7"
"Mack Hollins","NE","14.4","185.4","1.3","0.0","0.0","0.0","0.0","26.3"
"D.J. Montgomery","IND","16.0","192.0","1.0","0.0","6.0","0.0","0.0","25.8"
"Jake Bobo","SEA","15.0","173.7","1.3","0.0","1.3","0.0","0.1","25.0"
"Isaiah Hodgins","SF","14.0","183.0","1.0","0.0","4.0","0.0","0.0","24.7"
"David Bell","CLE","15.2","157.5","1.5","0.0","1.0","0.0","0.0","24.7"
"Justin Watson","HOU","12.3","172.9","1.2","0.0","0.0","0.0","0.1","24.5"
"Rakim Jarrett","TB","14.0","175.0","1.0","0.0","10.0","0.0","0.0","24.5"
"Malik Washington","MIA","12.6","157.0","1.0","2.1","13.3","0.1","0.0","23.0"
"Cornelius Johnson","GB","11.0","166.0","1.0","0.0","0.0","0.0","0.0","22.6"
"Isaiah Williams","CIN","13.6","161.8","1.1","0.0","0.0","0.0","0.1","22.5"
"Trent Sherfield Sr.","DEN","13.9","165.5","1.0","0.0","2.0","0.0","0.0","22.5"
"Marquez Valdes-Scantling","SEA","9.9","155.0","1.2","0.0","1.0","0.0","0.0","22.4"
