"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"94","Will Mallory (IND)","4","8","29","7.3","10","0","0","0","0","0","0","10","2.9","0.3","0.1%"
"95","Greg Dulcich (NYG)","5","12","28","5.6","9","0","0","0","0","0","0","9","2.8","0.3","6.0%"
"96","Cam Grandy (CIN)","5","5","28","5.6","9","0","0","0","0","0","0","8","2.8","0.4","0.0%"
"97","Shane Zylstra (DET)","1","1","22","22.0","22","1","0","0","0","0","0","12","2.2","0.2","1.1%"
"98","Dallin Holker (NO)","3","4","21","7.0","10","0","0","0","0","0","0","12","2.1","0.2","1.0%"
"99","Jaheim Bell (NE)","2","3","20","10.0","19","0","0","0","0","0","0","13","2.0","0.2","3.2%"
"100","Tanner Conner (MIA)","3","4","16","5.3","11","0","0","0","0","0","0","7","1.6","0.2","1.0%"
"101","Josiah Deguara (FA)","3","3","14","4.7","8","0","0","0","0","0","0","13","1.4","0.1","0.0%"
"102","Jack Stoll (NO)","2","3","10","5.0","6","0","0","0","0","0","0","9","1.0","0.1","0.0%"
"103","Eric Tomlinson (FA)","2","4","9","4.5","7","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"104","Brevin Jordan (HOU)","2","3","7","3.5","4","0","0","0","0","0","0","2","0.7","0.4","1.2%"
"105","John Samuel Shenker (FA)","1","1","7","7.0","7","0","0","0","0","0","0","7","0.7","0.1","0.0%"
"106","Jared Wiley (KC)","1","1","7","7.0","7","0","0","0","0","0","0","7","0.7","0.1","1.6%"
"107","Geoff Swaim (FA)","1","1","7","7.0","7","0","0","0","0","0","0","8","0.7","0.1","0.0%"
"108","Ian Thomas (LV)","3","6","7","2.3","3","0","0","0","0","0","0","5","0.7","0.1","0.1%"
"109","David Martin-Robinson (TEN)","1","2","6","6.0","6","0","0","0","0","0","0","5","0.6","0.1","0.1%"
"110","Zach Davidson (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","3","0.5","0.2","0.6%"
"111","Ross Dwelley (FA)","1","1","5","5.0","5","0","0","0","0","0","0","14","0.5","0.0","0.0%"
"112","Jody Fortson Jr. (FA)","1","3","5","5.0","5","0","0","0","0","0","0","3","0.5","0.2","0.0%"
"113","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","9","0.2","0.0","0.0%"
"114","Marcedes Lewis (FA)","1","2","2","2.0","2","0","0","0","0","0","0","17","0.2","0.0","0.0%"
"115","Parker Hesse (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"116","Mitchell Wilcox (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"117","Stephen Sullivan (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tyler Mabry (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Giovanni Ricci (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Andrew Beck (NYJ)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"123","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"124","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"125","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"126","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"127","Feleipe Franks (ATL)","1","3","12","12.0","12","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"128","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","3.1%"
"129","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Johnny Lumpkin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Jordan Murray (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"134","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Colston Loveland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.0%"
"136","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.5%"
"137","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"138","Joel Wilson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Brayden Willis (SF)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.1%"
"140","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Jordan Petaia (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Colin Granger (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"144","McCallan Castles (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Tyler Warren (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.8%"
"146","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"147","Brenden Bates (CLE)","0","1","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.1%"
"148","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"150","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Qadir Ismail (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Neal Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Thomas Yassmin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Zaire Mitchell-Paden (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"157","Baylor Cupp (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"158","James Mitchell (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"159","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Tre' McKitty (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.0%"
"163","Rodney Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"164","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"165","Leroy Watson (MIN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"166","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"167","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Cole Turner (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"169","Cameron Latu (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Nick Muse (PHI)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"171","Teagan Quitoriano (ATL)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"172","Nikola Kalinic (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"174","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"175","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jordan Matthews (CAR)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"178","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Anthony Firkser (KC)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"189","Robert Tonyan (KC)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","6.0%"
"190","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.5%"
"191","Albert Okwuegbunam Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","C.J. Uzomah (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"193","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"194","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
""
""
